bytes,pacotes
985,5
2601,13
7516,37
14555,71
21933,108
19257,95
20526,101
23262,115
27793,138
34239,170
29739,148
27951,139
28821,143
32389,160
37610,185
30646,151
27368,135
27537,136
29657,147
34061,170
35216,176
30535,152
28781,143
29531,146
33031,163
38214,188
31288,154
27975,137
28236,138
30490,149
34642,169
34213,166
29491,143
27708,135
28340,139
31887,157
36832,182
30514,151
27429,135
27933,137
30411,148
34531,167
28047,136
24722,120
23802,116
25429,124
29592,145
31596,155
27118,133
25503,125
26895,133
31863,159
34037,168
28008,139
24989,124
26061,130
29545,148
34730,175
30215,152
29429,148
31208,157
34884,176
39956,201
33532,168
30829,155
30597,154
33067,166
37455,188
30516,153
26849,135
26751,134
29085,146
33766,170
34456,172
29285,146
27553,138
28068,142
31075,157
35864,182
29239,148
25792,131
25800,131
28185,144
32859,168
33486,171
28561,145
26372,134
27213,138
30541,155
35797,181
29180,148
25810,130
26010,131
28613,143
33591,168
34935,171
30567,150
29819,147
31881,158
36449,181
35431,175
30128,149
28396,141
30433,152
34685,173
34689,172
29354,146
26161,131
27018,136
30048,152
34954,178
34140,172
29928,151
29131,147
30980,157
33345,169
37723,192
31864,162
29699,151
30507,155
32942,168
37365,191
30688,156
26995,137
26593,135
28747,146
33023,168
31875,161
27452,139
25614,129
27488,139
30747,155
35360,178
29084,146
25985,131
26109,131
28709,145
33333,168
32123,161
27346,137
26166,132
27746,140
30759,155
34982,177
29269,148
27172,139
28274,146
31188,162
36692,191
29975,156
27117,142
26456,140
28338,151
32176,173
31670,166
27019,142
25326,133
26793,141
29630,156
34854,184
28765,152
26279,140
26119,139
29178,156
33309,178
27331,146
23513,125
22522,121
24391,131
27525,148
31871,171
27173,146
25063,135
25004,135
28071,152
32154,174
25785,139
22445,121
22127,120
24288,131
27672,149
32594,174
27703,148
25503,136
25398,136
28435,152
32513,174
26947,145
24284,130
23770,128
26543,142
30426,163
29265,153
25280,132
23912,125
25682,133
29793,154
34919,181
29882,155
26059,135
27967,144
31219,160
35752,183
29411,151
25672,132
25904,133
27890,143
32821,168
36705,189
31204,160
28599,147
28345,145
31354,161
35678,183
28823,147
25230,129
25538,131
27686,142
32587,167
34737,181
29848,155
27763,143
27955,143
31467,160
36137,183
29280,148
25735,130
26160,132
28442,143
33530,168
35505,181
30734,157
28709,146
28914,147
32367,165
35992,184
29371,150
26108,133
26763,136
29180,148
34346,174
35421,183
30756,158
29984,154
31438,160
36284,184
29354,149
25862,131
24928,126
26706,135
30702,155
34136,173
28526,144
25508,128
26113,131
28509,143
33946,170
27489,138
24176,121
23473,118
26326,133
30497,154
33341,169
28092,142
25600,129
27206,136
31305,156
34124,170
27742,138
25265,125
25828,129
28123,141
32469,163
35755,179
30814,155
28716,144
29557,148
32915,166
35075,178
28502,144
25947,131
26527,133
29661,149
34792,174
37695,188
32391,162
29908,149
30586,153
33742,168
36979,185
31161,156
28813,144
28678,143
31946,160
35083,176
28739,144
25370,127
25139,126
27088,136
31083,157
24895,126
21512,108
20947,106
22008,111
25882,131
29729,150
24466,123
23249,117
24173,122
27436,138
30515,155
24831,126
21525,108
22310,112
24838,124
29386,146
30928,153
26532,131
25217,125
25738,127
28977,143
31728,158
25738,128
22976,114
23589,117
25974,129
30399,150
33476,166
28550,142
26498,132
26702,133
29457,147
31991,160
26002,130
23154,116
23371,116
25443,127
29890,149
31907,159
28348,141
28570,142
31328,156
36854,183
38762,192
33500,166
31688,157
32055,160
35530,177
36855,185
30696,154
27672,138
28495,142
31350,156
35768,178
36490,182
32179,160
30663,152
32912,163
36986,184
38443,192
31995,160
28798,144
29434,147
32135,160
37444,186
37783,188
33134,165
31573,158
32096,161
35487,178
35526,179
30065,151
27523,138
29035,146
32018,161
36015,180
32591,163
29265,146
28427,142
29579,147
33573,167
30743,153
26104,130
24364,121
26628,132
31520,156
36378,180
30907,153
27828,138
29373,148
33801,172
34387,176
35308,181
31761,164
31788,165
33580,175
35748,187
37279,196
32726,172
30869,162
32372,170
35940,189
36285,191
29970,157
27943,147
28114,148
30658,162
33527,178
35133,187
31006,164
29505,156
31547,166
35337,185
36107,190
35190,184
31050,162
31298,164
33276,174
35201,186
37663,199
33000,174
31055,163
32464,171
35980,189
37149,196
30650,161
27776,146
28602,150
31047,163
33769,178
33321,175
29909,157
28944,152
31118,164
35206,186
37184,196
32049,168
29768,155
31632,164
34732,179
36116,186
31464,162
29428,151
30698,157
33874,173
35128,180
33724,173
29897,153
29831,152
31479,160
33787,171
34115,172
29908,150
28369,142
30142,151
33935,170
35269,178
28979,146
26905,135
27425,138
30750,155
35109,178
