bytes,pacotes
10494,57
13227,71
17096,92
23798,128
30857,164
36144,193
31047,165
30135,160
31109,165
35294,186
39911,212
33815,179
30637,162
30354,160
32962,174
35478,189
28586,152
24970,132
25184,133
27028,143
31849,169
37155,198
31615,168
28887,153
28969,153
31879,168
36104,192
29980,159
26096,138
26878,145
27303,147
30446,163
34883,186
30001,167
26056,144
26045,142
27730,150
32464,174
37580,202
31800,171
28830,155
28760,154
31357,168
35327,190
28475,153
24902,133
25189,134
27112,144
32377,172
32399,172
28551,151
28103,148
29943,165
31237,170
34031,185
33453,181
29347,159
28593,155
29860,162
33629,183
36721,198
31342,169
28790,155
29205,157
31752,171
34121,184
27869,150
24713,133
24813,133
26792,144
31191,168
33844,183
29041,157
26949,145
27732,150
30574,165
33762,181
28284,154
23882,130
21604,117
22489,122
25049,135
28391,154
31844,174
27441,150
27158,148
28784,156
32948,178
36176,195
30878,166
28457,153
28910,155
31488,169
33514,182
35914,195
31211,169
30175,163
31197,168
34961,189
36918,198
32336,173
31347,168
30382,162
32022,171
36562,195
38119,205
32702,175
30428,162
31648,169
36108,193
39039,209
33439,178
31017,165
31557,168
34458,183
36104,193
29562,157
26807,142
27115,144
29731,157
34454,181
36962,196
31858,169
29983,159
31202,165
34493,182
36918,194
38524,203
31801,167
28601,151
28506,150
30774,163
34911,186
37271,200
32034,171
29979,160
30911,164
34135,181
37645,200
31565,168
28427,151
28412,151
30759,163
32955,175
35706,191
30782,165
30295,162
32232,172
36628,196
38370,205
33693,180
32830,174
32030,170
34072,180
38518,204
40388,214
34619,183
32260,170
33229,175
36407,191
40196,211
33997,178
30513,160
30376,159
34043,178
36312,190
39043,205
34545,181
33587,176
35337,185
39223,206
41372,218
35432,186
32960,173
34038,185
34688,186
37699,200
39940,211
33085,174
29794,157
29830,156
32392,170
36957,194
39559,208
33966,178
31758,166
32819,171
36090,188
39793,208
33707,176
30248,158
31568,164
35085,182
37262,194
30334,158
27534,143
27934,146
30772,161
35527,187
38196,203
39913,211
34211,181
31629,168
31645,168
33931,181
33959,182
28773,154
26476,141
26455,141
28213,150
30737,164
25640,137
22928,122
22556,120
24181,129
27471,147
28971,155
24783,132
23235,124
23863,127
26139,139
27887,149
23634,126
21425,114
21354,114
24132,128
25872,138
20963,112
18409,103
16334,91
17281,95
19961,109
24095,131
26236,142
22595,122
21447,115
22394,120
24964,134
26461,142
21760,116
19849,106
20093,107
22192,119
25880,138
27698,148
23754,127
22354,120
23151,124
25520,137
27929,149
24015,129
23389,126
25627,138
30286,163
34063,185
36621,199
31275,170
28476,155
28745,156
32777,177
35533,191
29179,157
26799,144
27355,147
30272,163
34936,188
37324,201
32103,173
30317,163
31421,169
34918,187
38207,204
31668,169
28790,154
28948,155
31547,169
35955,194
38139,205
32755,176
30906,166
31911,171
35309,189
39771,212
42830,228
35778,190
32079,171
31627,168
33690,180
36271,193
38392,205
32948,176
30973,166
31935,171
36205,195
38339,207
32814,177
30822,166
31809,171
35135,189
38261,205
32155,173
29773,160
30139,162
33146,178
35444,191
29741,160
27019,145
24715,133
25202,135
27869,150
30005,161
32072,173
27665,149
26488,143
27612,149
32052,173
33710,182
28826,156
26161,141
27351,148
30761,166
32319,174
26627,143
24402,131
24951,134
27668,149
32097,173
33766,182
28961,157
27467,149
28395,154
31538,171
33789,182
28182,152
25664,138
26159,144
26357,145
28793,157
32997,180
34489,188
29598,161
28035,152
28908,157
32007,173
34905,189
29353,158
26625,144
26730,144
29091,157
32127,172
28112,150
25221,134
26187,139
29508,156
32678,174
26840,143
24384,129
24556,130
26610,142
30225,162
33674,182
28859,161
24943,139
23810,132
25109,138
28173,154
32072,175
26422,143
24024,129
24373,130
26604,142
30542,163
33946,183
29087,156
27271,146
28145,150
31025,164
34176,183
28654,152
25825,137
25859,136
27853,146
30575,161
24797,131
21714,114
21267,112
23104,122
27539,147
30911,166
26587,142
25325,138
24215,131
25453,136
28727,153
31892,170
26101,139
23801,126
24240,128
26557,139
30913,164
32839,175
28967,154
28254,150
29983,159
33533,177
36215,191
30928,163
28863,152
29423,155
32100,170
35578,188
30031,158
27082,143
26956,142
30127,159
33005,176
35143,186
28598,152
24835,132
25159,133
27559,146
31008,164
34703,183
29719,157
27863,147
28604,151
31445,166
35210,185
28921,152
26194,138
26246,138
28428,149
32024,169
35516,187
30370,160
28383,149
29021,153
31778,167
35986,189
30051,158
27049,142
26882,141
28888,152
32604,172
36029,189
38333,202
32623,172
30186,159
30463,160
33311,176
36222,191
30714,162
29275,155
